"Statistic","Year","Age Group","UNIT","Domestic","Outbound"
"Number of Trips by Irish Residents","2000","All ages","Thousand","5478","3768"
"Number of Trips by Irish Residents","2001","All ages","Thousand","6307","4162"
"Number of Trips by Irish Residents","2002","All ages","Thousand","6452","4597"
"Number of Trips by Irish Residents","2003","All ages","Thousand","6657","4974"
"Number of Trips by Irish Residents","2004","All ages","Thousand","7001","5465"
"Number of Trips by Irish Residents","2005","All ages","Thousand","7173","6189"
"Number of Trips by Irish Residents","2006","All ages","Thousand","7310","6981"
"Number of Trips by Irish Residents","2007","All ages","Thousand","7942","7830"
"Number of Trips by Irish Residents","2008","All ages","Thousand","8339","8042"
"Number of Trips by Irish Residents","2009","All ages","Thousand","8340","7292"
"Number of Trips by Irish Residents","2010","All ages","Thousand","7300","6917"
"Number of Trips by Irish Residents","2011","All ages","Thousand","7169","6514"
"Number of Trips by Irish Residents","2012","All ages","Thousand","8291","6623"
"Number of Trips by Irish Residents","2013","All ages","Thousand","8413","6575"
"Number of Trips by Irish Residents","2014","All ages","Thousand","8991","6677"
"Number of Trips by Irish Residents","2015","All ages","Thousand","9125","7094"
"Number of Trips by Irish Residents","2016","All ages","Thousand","9359","7644"
"Number of Trips by Irish Residents","2017","All ages","Thousand","9626","8171"
"Number of Trips by Irish Residents","2018","All ages","Thousand","10919","8643"
"Number of Trips by Irish Residents","2019","All ages","Thousand","11621","9350"
"Number of Trips by Irish Residents","2020","All ages","Thousand","7721","2365"
"Number of Trips by Irish Residents","2021","All ages","Thousand","5663","2276"
"Number of Trips by Irish Residents","2022","All ages","Thousand","13274","8546"
